Condition Concept ID,Condition Name,Drug Concept ID,Drug Concept Name,Ground Truth (1-postive control; 0-negative control),DailyMed URL to Structured Product Label (SPL),Tisdale level of evidence,ATC class name,Indication Name,Comparator Drug Name,# of persons exposed,Average length of exposure,Expected case count,Minimum detectable relative risk (MDRR),# of persons exposed,Average length of exposure,Expected case count,Minimum detectable relative risk (MDRR),# of persons exposed,Average length of exposure,Expected case count,Minimum detectable relative risk (MDRR),# of persons exposed,Average length of exposure,Expected case count,Minimum detectable relative risk (MDRR),# of persons exposed,Average length of exposure,Expected case count,Minimum detectable relative risk (MDRR)
500000401,Acute kidney injury,1703687,Acyclovir,1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=12EA5042-8EA6-4EE9-A734-684A73EDB373,C,ANTIINFECTIVES FOR SYSTEMIC USE,Herpes Simplex Infection,famciclovir,30303,42.15,173.42,1.22,231241,24.05,2256.87,1.06,143127,52.63,6689.17,1.03,872968,58.08,3018.39,1.05,134254,160.17,148.23,1.24
500000401,Acute kidney injury,1167322,Allopurinol,1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fd8f8b8b-f25e-46e9-969a-65363b66e09b,C,MUSCULO-SKELETAL SYSTEM,Hyperuricemia,Probenecid,9311,331.91,135.17,1.26,45641,348.83,2033.4,1.06,183783,595.16,9743.99,1.03,292452,413.28,2185.34,1.06,117531,288.6,369.6,1.15
500000401,Acute kidney injury,19026710,Capreomycin,1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=9c9e4d3e-5259-49af-94f3-c175e9b56361,A,ANTIINFECTIVES FOR SYSTEMIC USE,Acute Tuberculosis,Ethambutol,0,0,0,225.3,1,27,0.03,88.15,0,0,0,225.3,1,53,0,225.3,9,33.89,0.02,127.46
500000401,Acute kidney injury,1340128,Captopril,1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2e221a6e-005b-4ae6-840c-835865d7cbcd,B,CARDIOVASCULAR SYSTEM,Hypertension,Amlodipine,1684,389.75,24,1.65,23134,367.56,976.41,1.09,67358,547.17,3662.91,1.05,43353,447.57,332.29,1.16,30219,288.63,89.28,1.32
500000401,Acute kidney injury,992590,Chlorothiazide,1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=32689670-ff81-40a1-8f2e-7a2de69cb603,C,CARDIOVASCULAR SYSTEM,Pulmonary Edema due to Chronic Heart Failure,Furosemide,154,202.14,0.88,6.2,2342,198.3,20.23,1.72,1996,561.66,96.71,1.31,3491,274.67,15.59,1.84,1555,240.13,3.06,3.24
500000401,Acute kidney injury,19010482,Cyclosporine,1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5e5926a7-1de0-4b54-a5c0-286b6200ff82,A,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Severe Recalcitrant Psoriasis,Acitretin,6027,131.4,52.58,1.42,11997,234.23,384.57,1.15,57138,205.09,2494.75,1.06,159290,154.54,831.67,1.1,20285,145.05,42.04,1.48
500000401,Acute kidney injury,1126128,Diflunisal,1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ea8ce5e2-dad4-4288-a1e1-775ea98a6fb9,A,NERVOUS SYSTEM,Pain,Acetaminophen,2652,48.2,19.02,1.75,12117,47.94,205.58,1.2,8241,161.77,344.74,1.16,53294,48.08,222.2,1.2,6855,176.74,11.81,1.98
500000401,Acute kidney injury,1342001,Enalaprilat,1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=eabae489-e254-4987-ab90-7cda20a6f856,B,CARDIOVASCULAR SYSTEM,Hypertension,Hydrochlorothiazide,0,0,0,225.3,41,20.9,2.12,3.85,9,15.33,0.74,6.93,2,219,0,225.3,68,40.72,0.17,19.75
500000401,Acute kidney injury,1195492,Etodolac,1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=86719bea-90f8-4696-ad0c-10a31967c850,A,MUSCULO-SKELETAL SYSTEM,Pain,Acetaminophen,17789,67.63,134.89,1.26,66799,75.2,1351.11,1.08,75208,178.81,3145.55,1.05,455847,75.21,2034.62,1.06,86213,141.28,115.58,1.28
500000401,Acute kidney injury,1153928,Fenoprofen,1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f90becaa-a4f3-44aa-ac8c-c69935c5ddb2,A,MUSCULO-SKELETAL SYSTEM,Pain,Acetaminophen,290,36.79,2.36,3.65,4114,80.14,85.3,1.33,1552,201.15,64.04,1.38,8648,55.24,40.63,1.49,1185,167.12,1.92,4.04
